name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
El Tatio (Chile),Thermal spring,El Tatio,241,85.0,7.4,44.0,7870.0,26.0,278.0,3.7,4320.0,525.0,45.0,280.0,-5.7,-68.0,231.0
El Tatio (Chile),Thermal spring,El Tatio,224,85.0,7.2,54.0,6890.0,35.0,244.0,3.7,3860.0,445.0,40.0,207.0,-6.0,-68.0,226.0
El Tatio (Chile),Thermal spring,El Tatio,195,86.0,7.7,68.0,6280.0,29.0,239.0,3.7,3440.0,360.0,34.0,125.0,-6.0,-66.0,218.0
El Tatio (Chile),Thermal spring,El Tatio,146,86.0,7.7,74.0,6190.0,35.0,249.0,3.7,3500.0,306.0,35.0,126.0,-6.0,-65.0,206.0
El Tatio (Chile),Thermal spring,El Tatio,96,86.0,7.3,46.0,5840.0,46.0,248.0,3.7,3460.0,170.0,32.0,180.0,-6.2,-66.0,174.0
El Tatio (Chile),Thermal spring,El Tatio,202,86.0,7.3,71.0,5630.0,37.0,218.0,3.7,3140.0,336.0,33.0,137.0,-6.2,-65.0,218.0
El Tatio (Chile),Thermal spring,El Tatio,112,86.0,7.6,69.0,5560.0,35.0,236.0,3.7,3200.0,235.0,30.0,130.0,-6.1,-68.0,195.0
El Tatio (Chile),Thermal spring,El Tatio,56,85.0,7.6,87.0,5380.0,46.0,232.0,3.7,3060.0,150.0,27.0,207.0,-6.1,-64.0,172.0
El Tatio (Chile),Thermal spring,El Tatio,319,83.0,6.3,65.0,5370.0,22.0,171.0,3.7,3000.0,367.0,27.0,149.0,-6.0,-67.0,229.0
El Tatio (Chile),Thermal spring,El Tatio,65,86.0,6.7,96.0,5240.0,42.0,225.0,3.7,2880.0,145.0,28.0,177.0,-6.5,-67.0,173.0
El Tatio (Chile),Thermal spring,El Tatio,132,79.0,6.5,92.0,4970.0,45.0,208.0,3.7,2820.0,175.0,27.0,181.0,-6.9,-67.0,184.0
El Tatio (Chile),Thermal spring,El Tatio,246,64.0,6.2,168.0,4310.0,46.0,160.0,3.7,2360.0,235.0,21.0,161.0,-7.1,-63.0,211.0
El Tatio (Chile),Thermal spring,El Tatio,7,84.0,7.3,288.0,4210.0,62.0,147.0,3.7,2560.0,230.0,24.0,258.0,-7.2,-66.0,207.0
El Tatio (Chile),Thermal spring,El Tatio,181,85.0,6.9,118.0,4010.0,36.0,170.0,3.7,2250.0,230.0,11.08,122.0,-7.0,-64.0,211.0
El Tatio (Chile),Thermal spring,El Tatio,215,73.0,6.6,138.0,3120.0,44.0,129.0,3.7,1810.0,195.0,11.08,150.0,-7.5,-61.0,213.0
El Tatio (Chile),Thermal spring,El Tatio,281,37.0,3.2,0.0,2790.0,171.0,90.0,3.7,1570.0,200.0,16.0,176.0,-7.5,-61.0,224.0
El Tatio (Chile),Thermal spring,El Tatio,3,80.0,6.7,242.0,1830.0,78.0,113.0,3.7,1080.0,103.0,11.0,218.0,-7.8,-61.0,196.0
El Tatio (Chile),Thermal spring,El Tatio,255,40.0,7.21,239.0,1190.0,58.0,48.0,3.7,760.0,82.0,8.0,150.0,-8.3,-61.0,205.0
El Tatio (Chile),Thermal spring,El Tatio,NE,58.0,6.9,360.0,950.0,30.0,59.0,3.7,604.0,68.0,6.0,149.0,-8.4,-62.0,201.0
El Tatio (Chile),Thermal spring,El Tatio,A9,55.0,8.2,872.0,760.0,5.0,28.0,3.7,540.0,64.0,4.0,188.0,-8.4,-57.0,209.0
El Tatio (Chile),Bubbling pool,El Tatio,1,73.6,6.01,183.0,7622.0,42.7,259.0,0.43,4338.0,501.0,33.5,169.0,-3.9,-67.4,232.0
El Tatio (Chile),Geyser,El Tatio,2,73.5,6.39,183.0,7810.0,44.2,235.0,0.64,4322.0,477.0,34.3,184.0,-4.71,-70.1,228.0
El Tatio (Chile),Bubbling pool,El Tatio,4,74.4,7.14,183.0,7810.0,43.1,231.0,0.22,4404.0,542.0,34.0,188.0,-4.9,-69.9,237.0
El Tatio (Chile),Geyser,El Tatio,5,73.4,7.33,183.0,7899.0,42.9,227.0,0.75,4345.0,519.0,32.6,205.0,-5.03,-71.8,235.0
El Tatio (Chile),Geyser,El Tatio,6,74.8,6.97,183.0,7891.0,42.5,242.0,0.64,4459.0,595.0,32.5,198.0,-4.6,-71.2,245.0
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP01,95.4,7.2,179.0,429.98,77.22,2.14,0.07,396.0,27.51,1542.2,392.2,-7.38,-64.59,262.0
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP03,95.4,8.3,101.9,416.73,75.79,1.88,0.07,423.5,27.51,1401.6,412.7,-7.57,-67.11,256.3
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP05,95.4,7.8,99.2,395.18,87.54,2.73,0.07,390.5,23.21,1561.5,369.3,-6.45,-61.48,248.6
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP07,95.4,8.6,110.1,385.19,385.19,1.43,0.07,372.0,23.15,1485.9,372.9,-7.38,-62.87,252.6
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT01,87.7,5.61,228.0,2700.0,135.0,34.0,2.5,1600.0,197.0,13.0,146.0,-10.24,-95.18,249.474
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT02,87.2,6.16,186.0,2675.0,140.0,30.0,1.5,1575.0,197.0,13.0,140.0,-10.23,-96.52,250.822
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT03,77.6,6.31,198.0,2850.0,145.0,19.0,0.5,1706.0,219.0,14.0,134.0,-9.0,-92.93,253.059
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT04,51.3,5.9,271.0,2710.0,125.0,47.0,0.5,1700.0,214.0,13.0,140.0,-9.11,-90.01,251.371
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT05,79.6,6.36,250.0,2900.0,130.0,45.0,0.5,1812.0,158.0,15.0,136.0,-9.0,-95.22,221.6
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT06,77.3,6.22,253.0,2650.0,130.0,40.0,0.5,1585.0,177.0,13.0,139.0,-8.72,-93.82,241.273
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT07,86.9,6.06,328.0,1684.0,71.0,57.0,1.2,1090.0,102.0,9.0,140.0,-11.42,-100.6,227.061
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT08,84.0,7.03,210.0,2405.0,103.0,22.0,0.2,1694.0,188.0,12.0,150.0,-8.04,-96.81,240.76
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT09,74.9,6.54,84.0,2277.0,71.0,70.0,3.0,1300.0,92.0,9.0,140.0,-10.37,-98.78,206.135
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT10,81.8,6.85,167.0,3323.0,89.0,58.0,0.2,2170.0,207.0,15.0,138.0,-8.64,-93.8,228.566
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT11,73.5,5.16,22.0,2496.0,219.0,69.0,0.2,1660.0,144.0,15.0,139.0,-5.36,-87.76,221.205
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT12,87.3,1.76,0.0,2444.0,119.0,64.0,0.4,1731.0,147.0,12.0,135.0,-7.89,-98.56,219.587
